home_team,away_team,posteam,side_of_field,yardline_100,half_seconds_remaining,game_seconds_remaining,game_half,down,ydstogo,ydsnet,yards_gained,score_differential,fourth_down_converted,fourth_down_failed,field_goal_attempt,punt_attempt,penalty
CLE,MIN,CLE,CLE,64,292,292,Half2,4,10,17,0,-22,0,1,0,0,0
NO,DET,DET,NO,4,851,2651,Half1,4,1,13,4,-11,1,0,0,0,0
NO,DET,DET,DET,64,378,378,Half2,4,1,33,14,-19,1,0,0,0,0
TB,DAL,TB,DAL,26,464,464,Half2,4,7,43,0,-13,0,1,0,0,0
TB,DAL,TB,DAL,2,91,91,Half2,4,2,72,2,-20,1,0,0,0,0
HOU,NYJ,NYJ,HOU,43,2,1802,Half1,4,2,33,25,10,1,0,0,0,0
HOU,NYJ,HOU,HOU,51,1117,1117,Half2,4,2,35,0,-17,0,1,0,0,0
HOU,NYJ,NYJ,HOU,29,120,120,Half2,4,1,61,2,18,1,0,0,0,0
IND,JAC,IND,IND,54,8,1808,Half1,4,1,9,0,1,0,1,0,0,0
IND,JAC,JAC,IND,7,672,672,Half2,4,2,58,7,-8,1,0,0,0,0
IND,JAC,IND,JAC,35,126,126,Half2,4,1,32,0,2,0,1,0,0,0
IND,JAC,JAC,JAC,63,83,83,Half2,4,8,2,0,-2,0,1,0,0,0
CIN,DEN,CIN,DEN,42,1216,3016,Half1,4,2,6,5,0,1,0,0,0,0
CIN,DEN,CIN,DEN,10,1011,2811,Half1,4,2,6,0,0,0,1,0,0,0
CAR,PHI,CAR,PHI,2,1395,3195,Half1,4,1,69,1,0,1,0,0,0,0
CAR,PHI,PHI,CAR,35,644,644,Half2,4,3,13,6,26,1,0,0,0,0
CAR,PHI,PHI,CAR,38,264,264,Half2,4,1,0,-9,26,0,1,0,0,0
CAR,PHI,CAR,PHI,27,120,120,Half2,4,1,35,9,-26,1,0,0,0,0
CAR,PHI,CAR,PHI,1,39,39,Half2,4,1,51,-1,-26,0,1,0,0,0
BAL,KC,KC,BAL,48,1,1801,Half1,4,9,41,20,-4,1,0,0,0,0
BAL,KC,KC,KC,87,99,99,Half2,4,18,-12,-4,-8,0,1,0,0,0
BAL,KC,BAL,KC,1,36,36,Half2,4,1,9,1,8,1,0,0,0,0
ATL,MIA,MIA,ATL,15,250,250,Half2,4,4,67,6,-19,1,0,0,0,0
ARI,SF,ARI,SF,33,115,115,Half2,4,5,5,0,-4,0,1,0,0,0
SEA,STL,STL,SEA,7,130,130,Half2,4,7,81,0,-28,0,1,0,0,0
NYG,WAS,NYG,WAS,3,900,2700,Half1,4,1,77,0,3,0,1,0,0,0
NYG,WAS,WAS,NYG,8,33,1833,Half1,4,8,77,8,-16,1,0,0,0,0
GB,CHI,CHI,GB,49,4,1804,Half1,4,14,10,0,-8,0,1,0,0,0
GB,CHI,CHI,GB,37,1560,1560,Half2,4,1,43,1,-8,1,0,0,0,0
GB,CHI,CHI,CHI,74,763,763,Half2,4,11,3,4,2,0,1,0,0,0
NE,BUF,NE,BUF,40,1719,3519,Half1,4,1,9,0,0,0,1,0,0,0
NE,BUF,NE,BUF,36,1260,1260,Half2,4,2,61,0,-3,0,1,0,0,0
NE,BUF,BUF,BUF,70,1,1,Half2,4,20,35,30,-2,1,0,0,0,0
OAK,SD,OAK,OAK,57,161,161,Half2,4,14,71,57,-4,1,0,0,0,0
ATL,CAR,ATL,CAR,15,1436,1436,Half2,4,1,67,2,8,1,0,0,0,0
ATL,CAR,ATL,CAR,21,973,973,Half2,4,1,27,1,8,1,0,0,0,0
ATL,CAR,CAR,ATL,17,164,164,Half2,4,10,51,0,-8,0,1,0,0,0
DET,MIN,DET,MIN,21,1326,3126,Half1,4,1,35,4,0,1,0,0,0,0
DET,MIN,DET,DET,58,267,267,Half2,4,7,28,12,-17,1,0,0,0,0
DET,MIN,MIN,DET,25,138,138,Half2,4,2,22,14,14,1,0,0,0,0
WAS,STL,WAS,STL,20,227,227,Half2,4,1,69,9,2,1,0,0,0,0
WAS,STL,WAS,STL,2,120,120,Half2,4,1,76,-2,2,0,1,0,0,0
WAS,STL,STL,STL,96,100,100,Half2,4,10,0,0,-2,0,1,0,0,0
TEN,HOU,HOU,TEN,37,1152,1152,Half2,4,2,32,4,-7,1,0,0,0,0
TEN,HOU,TEN,HOU,33,629,629,Half2,4,6,40,0,0,0,1,0,0,0
TEN,HOU,HOU,TEN,15,316,316,Half2,4,1,55,2,0,1,0,0,0,0
PHI,NO,PHI,NO,3,934,934,Half2,4,3,35,3,-21,1,0,0,0,0
PHI,NO,PHI,NO,5,317,317,Half2,4,5,76,0,-21,0,1,0,0,0
PHI,NO,NO,NO,99,221,221,Half2,4,14,-5,-1,21,0,1,0,0,0
NYJ,NE,NE,NE,72,66,66,Half2,4,10,18,0,-7,0,1,0,0,0
KC,OAK,KC,OAK,39,1281,3081,Half1,4,2,43,3,0,1,0,0,0,0
KC,OAK,KC,OAK,27,44,1844,Half1,4,1,47,3,0,1,0,0,0,0
KC,OAK,KC,KC,74,36,36,Half2,4,4,6,0,-3,0,1,0,0,0
JAC,ARI,ARI,JAC,44,309,2109,Half1,4,1,30,3,13,1,0,0,0,0
JAC,ARI,JAC,ARI,19,439,439,Half2,4,10,85,19,-20,1,0,0,0,0
JAC,ARI,JAC,ARI,31,269,269,Half2,4,13,31,0,-13,0,1,0,0,0
SF,SEA,SEA,SEA,62,217,217,Half2,4,13,30,22,-13,1,0,0,0,0
SF,SEA,SEA,SF,18,137,137,Half2,4,15,52,0,-13,0,1,0,0,0
BUF,TB,BUF,BUF,64,675,2475,Half1,4,1,26,2,9,1,0,0,0,1
BUF,TB,TB,BUF,43,1201,1201,Half2,4,1,25,-1,-5,0,1,0,0,0
BUF,TB,TB,BUF,43,411,411,Half2,4,10,75,38,-15,1,0,0,0,0
BUF,TB,TB,BUF,6,332,332,Half2,4,6,80,6,-15,1,0,0,0,0
BUF,TB,TB,TB,53,66,66,Half2,4,6,30,11,-12,1,0,0,0,0
SD,BAL,SD,BAL,34,38,1838,Half1,4,2,17,9,-8,1,0,0,0,0
SD,BAL,SD,BAL,15,37,37,Half2,4,2,53,-5,-5,0,1,0,0,0
DEN,CLE,DEN,CLE,32,113,113,Half2,4,3,37,0,21,0,1,0,0,0
CHI,PIT,PIT,CHI,1,1202,3002,Half1,4,1,92,1,0,1,0,0,0,0
MIA,IND,MIA,IND,42,22,22,Half2,4,10,52,12,-4,1,0,0,0,0
BAL,CLE,BAL,CLE,9,1545,3345,Half1,4,1,31,2,0,1,0,0,0,0
NYJ,TEN,TEN,NYJ,33,291,2091,Half1,4,7,37,0,-7,0,1,0,0,0
NYJ,TEN,TEN,TEN,67,114,114,Half2,4,23,-1,0,-7,0,1,0,0,0
DET,WAS,WAS,DET,1,1334,3134,Half1,4,1,75,0,0,0,1,0,0,0
DET,WAS,WAS,DET,36,8,8,Half2,4,10,55,13,-5,1,0,0,0,0
HOU,JAC,HOU,JAC,16,67,1867,Half1,4,1,61,11,-3,1,0,0,0,0
HOU,JAC,JAC,HOU,12,900,900,Half2,4,1,79,4,0,1,0,0,0,0
MIN,SF,SF,MIN,36,590,2390,Half1,4,1,52,25,-10,1,0,0,0,1
MIN,SF,MIN,SF,47,115,115,Half2,4,5,25,0,-3,0,1,0,0,0
NE,ATL,ATL,NE,34,626,2426,Half1,4,3,32,7,-7,1,0,0,0,0
NE,ATL,NE,NE,76,1219,1219,Half2,4,1,11,2,6,1,0,0,0,0
NE,ATL,NE,ATL,37,955,955,Half2,4,3,69,21,6,1,0,0,0,0
NE,ATL,NE,ATL,33,120,120,Half2,4,1,53,8,16,1,0,0,0,0
TB,NYG,TB,NYG,28,445,445,Half2,4,3,56,8,-24,1,0,0,0,0
TB,NYG,TB,NYG,5,360,360,Half2,4,5,71,0,-24,0,1,0,0,0
PHI,KC,PHI,KC,44,718,2518,Half1,4,1,26,0,14,0,1,0,0,0
PHI,KC,KC,KC,60,1303,1303,Half2,4,2,23,4,-20,1,0,0,0,0
PHI,KC,KC,PHI,17,147,147,Half2,4,7,11,8,-27,1,0,0,0,0
STL,GB,STL,GB,44,1525,1525,Half2,4,1,39,2,-9,1,0,0,0,0
STL,GB,STL,GB,31,153,153,Half2,4,5,44,0,-19,0,1,0,0,0
BUF,NO,NO,BUF,28,1102,2902,Half1,4,2,47,0,7,0,1,0,0,0
BUF,NO,BUF,NO,25,896,2696,Half1,4,6,72,25,-7,1,0,0,0,0
BUF,NO,NO,NO,55,1459,1459,Half2,4,1,44,2,3,1,0,0,0,0
BUF,NO,BUF,BUF,86,145,145,Half2,4,23,-1,12,-13,0,1,0,0,0
SEA,CHI,CHI,SEA,1,120,1920,Half1,4,1,66,1,-13,1,0,0,0,0
SEA,CHI,SEA,CHI,43,52,52,Half2,4,1,43,6,-6,1,0,0,0,0
SEA,CHI,SEA,CHI,29,30,30,Half2,4,2,51,0,-6,0,1,0,0,0
CIN,PIT,PIT,CIN,35,75,1875,Half1,4,4,51,0,13,0,1,0,0,0
CIN,PIT,CIN,CIN,62,992,992,Half2,4,3,35,21,-11,1,0,0,0,0
CIN,PIT,CIN,PIT,20,60,60,Half2,4,2,56,5,-5,1,0,0,0,0
CIN,PIT,CIN,PIT,15,36,36,Half2,4,10,67,11,-5,1,0,0,0,0
SD,MIA,MIA,MIA,59,244,244,Half2,4,4,29,12,-16,1,0,0,0,0
SD,MIA,SD,MIA,4,35,35,Half2,4,4,34,2,9,0,1,0,0,0
OAK,DEN,DEN,OAK,1,1216,3016,Half1,4,1,68,0,0,0,1,0,0,0
OAK,DEN,OAK,OAK,51,1402,1402,Half2,4,1,20,1,-17,1,0,0,0,1
OAK,DEN,OAK,OAK,56,209,209,Half2,4,5,20,0,-20,0,1,0,0,0
OAK,DEN,DEN,OAK,35,112,112,Half2,4,1,26,17,20,1,0,0,0,0
ARI,IND,ARI,IND,27,428,428,Half2,4,1,36,10,-21,1,0,0,0,0
ARI,IND,ARI,IND,22,390,390,Half2,4,15,3,-28,-21,0,1,0,0,0
ARI,IND,IND,ARI,32,199,199,Half2,4,8,35,17,21,1,0,0,0,0
ARI,IND,IND,ARI,18,31,31,Half2,4,13,28,-4,21,0,1,0,0,0
